Aceleracao X,Aceleracao Y,Aceleracao Z,Temperatura,Velocidade X,Velocidade Y,Velocidade Z,Roll,Pitch,Yall,Magnetico X,Magnetico Y,Magnetico Z,Pressao do Ar,Altitude,Longitude,Latitude,Velocidade GPS,Angulo,Horario,RPM,Velocidade Hall,Temperatura Disco,Pressao Freio
-1.378125,1.4259765625,9.44111328125,35.98,0.0,-0.6103515625,0.30517578125,6.0150146484375,7.8277587890625,-36.5240478515625,-11.2554931640625,13.77685546875,17.281494140625,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.730700,0.00,0.00,46.5,1.4339999999999997
-1.378125,1.4259765625,9.44111328125,35.98,0.0,-0.6103515625,0.30517578125,6.0150146484375,7.822265625,-36.5240478515625,-11.2774658203125,13.787841796875,17.2650146484375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.742487,0.00,0.00,46.5,1.4339999999999997
-1.1771484375,1.4546875000000001,9.508105468750001,35.98,-0.18310546875,-0.30517578125,-0.06103515625,6.0150146484375,7.789306640625,-36.5130615234375,-11.1676025390625,13.8812255859375,17.29248046875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.56,09:28:57.838232,0.00,0.00,45.75,1.472
-1.1771484375,1.4546875000000001,9.508105468750001,35.98,-0.18310546875,-0.30517578125,-0.06103515625,6.0150146484375,7.7838134765625,-36.5130615234375,-11.1785888671875,13.8812255859375,17.2979736328125,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.842012,0.00,0.00,45.75,1.472
-1.2058593750000002,1.3972656250000002,9.512890625,36.02,-0.1220703125,-0.06103515625,-0.06103515625,6.0150146484375,7.7783203125,-36.5130615234375,-11.1785888671875,13.8592529296875,17.3199462890625,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.56,09:28:57.851353,0.00,0.00,45.75,1.502
-1.2058593750000002,1.3972656250000002,9.512890625,36.02,-0.1220703125,-0.06103515625,-0.06103515625,6.0150146484375,7.7783203125,-36.5130615234375,-11.18408203125,13.831787109375,17.3583984375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.860715,0.00,0.00,45.75,1.4900000000000002
-1.2632812500000001,1.3829101562500001,9.53681640625,36.04,-0.06103515625,0.0,-0.06103515625,6.0205078125,7.7728271484375,-36.5130615234375,-11.18408203125,13.798828125,17.3748779296875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.870052,0.00,0.00,45.75,1.4539999999999997
-1.2632812500000001,1.3829101562500001,9.53681640625,36.04,-0.06103515625,0.0,-0.06103515625,6.0205078125,7.7728271484375,-36.5130615234375,-11.1895751953125,13.7933349609375,17.3529052734375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.881280,0.00,0.00,45.75,1.4900000000000002
-1.26806640625,1.3494140625000002,9.53681640625,36.0,-0.06103515625,0.06103515625,-0.06103515625,6.0205078125,7.767333984375,-36.5185546875,-11.2060546875,13.8153076171875,17.3309326171875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.890622,0.00,0.00,45.75,1.4600000000000002
-1.26806640625,1.3494140625000002,9.53681640625,36.0,-0.06103515625,0.06103515625,-0.06103515625,6.0205078125,7.767333984375,-36.5185546875,-11.22802734375,13.8427734375,17.3309326171875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.899964,0.00,0.00,45.75,1.4280000000000004
-1.30634765625,1.31591796875,9.5607421875,36.03,0.0,0.1220703125,-0.06103515625,6.0205078125,7.767333984375,-36.5185546875,-11.239013671875,13.875732421875,17.325439453125,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.911192,0.00,0.00,45.75,1.4539999999999997
-1.30634765625,1.31591796875,9.5607421875,36.03,0.0,0.1220703125,-0.06103515625,6.0205078125,7.7618408203125,-36.5185546875,-11.22802734375,13.86474609375,17.2869873046875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.920531,0.00,0.00,45.75,1.5200000000000002
-1.3494140625000002,1.30634765625,9.551171875000001,36.0,0.0,0.1220703125,-0.06103515625,6.0205078125,7.7618408203125,-36.5185546875,-11.2005615234375,13.8592529296875,17.24853515625,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.929981,0.00,0.00,45.75,1.492
-1.3494140625000002,1.30634765625,9.551171875000001,36.0,0.0,0.1220703125,-0.06103515625,6.0205078125,7.7618408203125,-36.5185546875,-11.173095703125,13.831787109375,17.259521484375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:57.946434,0.00,0.00,45.75,1.4539999999999997
-1.378125,1.4211914062500002,9.4171875,36.0,0.0,0.0,0.0,6.0150146484375,7.767333984375,-36.5130615234375,-11.1676025390625,13.7933349609375,17.303466796875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.56,09:28:58.040334,0.00,0.00,45.75,1.4539999999999997
-1.3972656250000002,1.4259765625,9.431542968750001,36.0,0.0,0.0,0.0,6.0150146484375,7.767333984375,-36.5130615234375,-11.1566162109375,13.7823486328125,17.2760009765625,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.050106,0.00,0.00,45.75,1.512
-1.3972656250000002,1.4259765625,9.431542968750001,36.0,0.0,0.0,0.0,6.0150146484375,7.767333984375,-36.5130615234375,-11.1785888671875,13.77685546875,17.2265625,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.059466,0.00,0.00,45.75,1.5139999999999998
-1.4068359375000001,1.4211914062500002,9.455468750000001,36.01,0.0,-0.1220703125,0.06103515625,6.0150146484375,7.7728271484375,-36.5130615234375,-11.2005615234375,13.77685546875,17.193603515625,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.070800,0.00,0.00,45.75,1.482
-1.4068359375000001,1.4211914062500002,9.455468750000001,36.01,0.0,-0.1220703125,0.06103515625,6.0205078125,7.767333984375,-36.5130615234375,-11.2115478515625,13.798828125,17.171630859375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.080147,0.00,0.00,45.75,1.4439999999999997
-1.3494140625000002,1.4211914062500002,9.436328125000001,36.02,0.0,-0.1220703125,0.0,6.0205078125,7.767333984375,-36.5130615234375,-11.2115478515625,13.8427734375,17.1331787109375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.089496,0.00,0.00,45.75,1.4680000000000004
-1.3494140625000002,1.4211914062500002,9.436328125000001,36.02,0.0,-0.1220703125,0.0,6.0205078125,7.767333984375,-36.5130615234375,-11.22802734375,13.86474609375,17.138671875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.100722,0.00,0.00,45.75,1.4039999999999997
-1.3494140625000002,1.3876953125,9.474609375,36.0,-0.06103515625,-0.18310546875,0.0,6.0205078125,7.767333984375,-36.5130615234375,-11.239013671875,13.875732421875,17.1331787109375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.110055,0.00,0.00,45.75,1.4300000000000002
-1.3494140625000002,1.3876953125,9.474609375,36.0,-0.06103515625,-0.18310546875,0.0,6.0205078125,7.767333984375,-36.5130615234375,-11.22802734375,13.8812255859375,17.11669921875,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.119411,0.00,0.00,45.75,1.482
-1.35419921875,1.3589843750000001,9.508105468750001,35.98,0.0,-0.18310546875,0.0,6.0205078125,7.767333984375,-36.5130615234375,-11.2554931640625,13.9031982421875,17.083740234375,1.0020429311621022,42949655.75,3809654779.0,4033560037.0,0.0,163.48,09:28:58.130636,0.00,0.00,45.75,1.4980000000000004
